NEGERI,PERLIS,KEDAH,PULAU PINANG,PERAK,SELANGOR,WPKL/PUTRAJAYA,N.SEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SARAWAK,SABAH,LABUAN,MALAYSIA,YEAR
Week 32,2,7,43,43,250,69,16,80,77,35,19,154,119,36,2,952,2010
Week 33,5,25,39,74,258,64,12,98,87,36,42,200,94,40,0,1074,2010
Week 34,10,26,50,63,223,75,13,84,121,32,48,257,102,55,0,1159,2010
Week 35,9,13,66,58,236,51,9,43,149,30,42,307,77,54,0,1144,2010
Week 36,5,6,54,41,186,55,9,36,114,16,57,214,67,38,0,898,2010
Week 37,7,14,69,41,150,39,9,46,107,16,38,169,56,42,0,803,2010
Week 38,5,14,51,55,242,53,10,62,137,31,47,163,66,37,0,973,2010
Week 39,7,11,62,48,190,69,11,63,118,38,64,132,67,33,0,913,2010
Week 40,4,13,51,40,181,52,10,66,151,30,99,101,69,44,0,911,2010
Week 41,8,20,62,41,190,77,10,61,135,40,105,98,61,26,0,934,2010
Week 42,12,14,48,47,227,72,9,53,142,42,62,64,65,31,0,888,2010
Week 43,6,17,41,51,246,74,9,53,123,36,38,54,42,17,0,807,2010
Week 44,0,6,31,39,198,71,9,42,77,37,46,38,57,29,1,681,2010
Week 45,6,11,43,36,217,61,10,39,86,35,34,36,48,22,0,684,2010
Week 46,6,10,43,28,167,45,9,40,72,47,24,29,49,21,0,590,2010
Week 47,4,10,52,27,178,61,12,32,70,58,28,28,40,29,0,629,2010
Week 48,2,18,38,30,186,43,8,31,56,48,29,44,49,18,0,600,2010
Week 49,2,22,42,20,132,28,9,28,65,46,30,20,38,15,1,498,2010
Week 50,4,13,58,36,139,47,6,17,58,51,18,28,29,19,1,524,2010
Week 51,4,9,42,42,178,39,7,23,45,42,23,22,30,13,0,519,2010
Week 52,1,9,37,40,188,40,4,8,51,27,18,21,29,14,0,487,2010
Week 1,2,15,42,36,170,36,6,19,50,34,22,28,46,14,1,521,2011
Week 2,7,11,46,25,213,36,9,21,61,34,39,23,50,20,1,596,2011
Week 3,3,9,40,40,173,28,12,8,49,26,35,17,31,18,0,489,2011
Week 4,4,20,48,41,167,32,20,10,44,28,18,21,24,15,1,493,2011
Week 5,0,13,24,18,144,22,18,3,35,21,18,20,25,10,1,372,2011
Week 6,2,13,33,31,137,28,11,6,50,25,16,16,17,6,0,391,2011
Week 7,1,9,32,16,136,39,10,13,62,17,28,17,25,15,0,420,2011
Week 8,0,9,35,31,162,37,12,12,45,25,19,14,16,13,0,430,2011
Week 9,0,12,29,17,137,33,15,19,42,27,15,13,24,10,0,393,2011
Week 10,0,12,36,39,116,26,27,12,38,32,14,12,22,16,0,402,2011
Week 11,0,4,36,28,127,18,13,7,48,25,13,8,22,8,0,357,2011
Week 12,0,6,34,16,103,32,14,7,22,16,16,10,13,11,1,301,2011
Week 13,0,4,34,22,112,30,17,4,30,17,30,17,13,6,0,336,2011
Week 14,1,3,23,27,164,36,17,7,31,14,6,10,11,6,0,356,2011
Week 15,1,7,43,22,180,47,13,5,33,11,8,8,12,8,0,398,2011
Week 16,3,10,54,21,168,34,13,1,32,11,8,15,15,11,0,396,2011
Week 17,1,9,62,20,126,32,24,8,31,12,6,9,13,9,0,362,2011
Week 18,1,5,34,21,120,36,27,7,26,14,6,9,21,7,0,334,2011
Week 19,1,11,32,28,153,37,19,8,32,12,13,4,23,9,0,382,2011
Week 20,0,13,29,22,179,44,15,4,24,13,11,11,16,3,0,384,2011
Week 21,0,4,41,20,178,52,13,12,22,14,5,8,15,4,0,388,2011
Week 22,1,14,46,19,143,50,18,6,22,19,4,10,10,7,0,369,2011
Week 23,3,7,47,21,137,42,9,6,24,19,7,8,23,6,0,359,2011
Week 24,3,14,39,26,151,47,15,5,23,14,9,9,15,5,0,375,2011
Week 25,3,10,33,27,182,34,16,10,37,20,12,12,23,7,0,426,2011
Week 26,3,6,31,39,167,48,12,9,17,23,13,16,18,12,0,414,2011
Week 27,1,10,40,28,202,47,29,7,27,14,8,13,15,6,1,448,2011
Week 28,2,6,40,27,168,37,12,7,25,12,15,13,15,4,0,383,2011
Week 29,4,11,48,23,139,42,11,7,35,17,12,19,11,4,0,383,2011
Week 30,2,10,34,19,146,33,18,8,29,21,11,17,19,7,3,377,2011
Week 31,4,5,27,25,119,39,17,3,28,15,6,21,26,8,0,343,2011
Week 32,5,15,28,27,131,40,15,5,21,16,14,18,18,9,0,362,2011
Week 33,4,13,26,21,152,34,8,5,25,18,15,25,13,6,0,365,2011
Week 34,6,5,26,19,111,31,15,4,21,14,8,21,18,3,0,302,2011
Week 35,0,2,20,10,70,17,7,2,10,5,6,13,10,4,0,176,2011
Week 36,2,6,24,25,103,42,17,3,29,12,11,13,19,5,0,311,2011
Week 37,4,10,25,23,122,53,12,5,18,14,6,9,20,4,0,325,2011
Week 38,6,5,18,16,147,38,11,5,19,17,12,15,16,5,0,330,2011
Week 39,3,8,8,32,121,42,15,9,30,13,7,12,16,8,0,324,2011
Week 40,3,13,18,18,110,43,17,9,31,17,11,10,9,7,0,316,2011
Week 41,2,4,10,29,141,46,13,13,22,18,11,11,14,6,0,340,2011
Week 42,2,7,9,32,153,51,14,9,30,16,10,18,10,8,0,369,2011
Week 43,3,19,10,40,140,62,12,13,28,18,17,13,27,5,0,407,2011
Week 44,2,14,13,30,145,46,18,7,24,20,16,9,17,5,0,366,2011
Week 45,1,8,16,35,150,48,11,7,16,18,9,20,21,7,0,367,2011
Week 46,4,20,20,42,160,55,14,13,24,12,16,17,12,6,2,417,2011
Week 47,2,11,18,50,181,56,13,14,34,14,15,9,14,6,0,437,2011
Week 48,1,15,21,27,163,32,9,12,26,13,17,4,13,5,0,358,2011
Week 49,1,17,26,44,201,47,12,16,27,20,13,30,21,11,0,486,2011
Week 50,1,19,23,62,234,49,12,15,28,14,17,14,29,5,0,522,2011
Week 51,3,11,22,33,194,39,10,16,32,15,13,16,18,7,0,429,2011
Week 52,2,7,24,24,151,33,5,7,26,10,15,21,16,4,5,350,2011
Week 1,2,13,20,34,212,35,8,15,37,13,17,19,10,4,1,440,2012
Week 2,5,22,16,39,219,46,8,12,39,18,10,18,17,12,0,481,2012
Week 3,3,9,17,33,192,64,11,18,32,11,13,31,13,11,1,459,2012
Week 4,2,8,25,41,217,64,12,19,21,20,22,14,13,10,0,488,2012
Week 5,3,27,21,36,237,60,7,14,33,20,19,30,28,10,0,545,2012
Week 6,5,17,20,39,230,49,6,15,29,10,46,16,19,12,0,513,2012
Week 7,4,12,21,35,274,42,8,18,33,16,20,57,31,14,0,585,2012
Week 8,3,12,19,53,273,61,11,12,34,23,24,39,27,10,1,602,2012
Week 9,6,19,10,32,276,43,10,19,38,19,22,43,21,8,1,567,2012
Week 10,9,10,22,41,219,51,9,10,35,15,9,38,25,11,0,504,2012
Week 11,7,12,18,26,208,56,8,19,31,8,17,37,21,11,1,480,2012
Week 12,4,15,13,29,217,60,6,9,24,12,26,28,27,7,0,477,2012
Week 13,4,10,16,29,204,58,6,18,39,12,18,26,18,8,0,466,2012
Week 14,5,12,21,38,186,51,8,12,38,16,10,15,16,3,0,431,2012
Week 15,2,25,14,35,206,58,8,11,39,13,6,17,17,12,0,463,2012
Week 16,4,21,19,18,193,51,11,11,31,22,12,23,25,8,1,450,2012
Week 17,2,23,13,21,214,62,11,9,32,17,8,10,22,9,0,453,2012
Week 18,3,27,9,28,182,45,7,7,31,8,11,15,23,8,1,405,2012
Week 19,3,16,18,18,202,19,10,7,36,7,17,13,20,7,0,393,2012
Week 20,1,19,21,20,186,26,11,9,36,11,12,18,22,13,0,405,2012
Week 21,0,17,13,24,200,19,7,6,37,12,9,27,11,14,0,396,2012
Week 22,3,11,10,24,177,23,8,6,37,7,12,6,18,7,0,349,2012
Week 23,2,17,16,23,184,17,4,5,26,16,10,13,14,7,0,354,2012
Week 24,7,21,10,36,168,14,9,4,25,15,9,18,14,7,0,357,2012
Week 25,10,15,22,28,173,26,7,8,24,5,14,12,12,10,1,367,2012
Week 26,5,14,15,26,173,29,8,5,29,13,10,18,11,8,0,364,2012
Week 27,4,17,16,36,155,30,10,5,24,12,15,19,15,6,0,364,2012
Week 28,2,20,19,29,136,27,12,9,31,11,13,21,17,13,0,360,2012
Week 29,4,18,17,26,109,22,11,6,34,6,17,18,19,12,0,319,2012
Week 30,3,21,10,31,109,27,9,7,28,13,10,23,23,11,0,325,2012
Week 31,7,13,20,35,127,18,19,13,38,9,26,29,11,6,0,371,2012
Week 32,2,26,12,40,120,24,14,4,42,11,23,24,21,16,0,379,2012
Week 33,2,24,12,24,114,21,13,3,27,8,12,22,39,11,0,332,2012
Week 34,1,14,6,16,107,8,22,5,29,12,14,18,33,13,0,298,2012
Week 35,2,13,8,37,134,24,20,2,27,7,19,29,33,17,0,372,2012
Week 36,3,20,11,49,124,16,9,4,28,7,11,26,29,17,0,354,2012
Week 37,0,10,4,46,118,26,7,4,24,13,16,31,29,10,0,338,2012
Week 38,2,18,13,51,90,27,14,6,33,11,8,27,32,12,0,344,2012
Week 39,0,7,10,44,124,25,10,8,35,12,21,23,58,13,0,390,2012
Week 40,3,9,12,55,122,29,18,6,21,6,11,21,63,12,1,389,2012
Week 41,3,7,12,40,112,23,6,6,25,11,10,31,42,9,0,337,2012
Week 42,2,10,11,38,133,24,13,2,29,12,9,23,59,26,0,391,2012
Week 43,2,13,17,26,136,20,17,4,33,12,17,22,49,22,0,390,2012
Week 44,2,10,17,37,163,26,10,4,24,17,9,26,48,27,1,421,2012
Week 45,2,17,18,32,139,30,11,6,16,12,14,33,53,28,0,411,2012
Week 46,6,14,13,31,144,14,6,6,20,8,9,16,49,14,0,350,2012
Week 47,2,12,14,32,159,27,12,7,33,13,6,27,49,22,0,415,2012
Week 48,5,16,13,25,168,36,14,8,52,10,8,32,59,30,0,476,2012
Week 49,3,19,17,34,207,33,15,9,28,8,11,24,40,19,0,467,2012
Week 50,5,17,16,41,211,45,13,8,40,16,13,27,63,21,0,536,2012
Week 51,0,15,16,26,226,56,12,4,40,13,10,41,41,21,0,521,2012
Week 52,1,13,18,29,204,27,16,5,43,12,4,11,50,23,0,456,2012
Week 1,3,8,13,29,199,21,10,7,45,17,5,23,41,25,0,446,2013
Week 2,2,30,21,38,271,35,11,10,59,13,5,27,42,25,0,589,2013
Week 3,2,12,18,42,243,19,11,10,54,11,5,33,67,18,0,545,2013
Week 4,4,13,19,47,243,21,9,10,52,9,6,18,51,17,0,519,2013
Week 5,4,12,12,45,199,25,9,11,38,15,2,19,44,26,0,461,2013
Week 6,4,19,11,41,213,33,6,12,38,13,5,29,46,23,0,493,2013
Week 7,2,14,17,29,176,18,6,7,33,15,4,28,45,14,0,408,2013
Week 8,6,20,19,38,216,33,7,7,34,10,3,27,48,9,0,477,2013
Week 9,2,6,14,48,162,64,8,11,31,10,5,25,33,14,0,433,2013
Week 10,3,12,11,34,152,45,8,11,34,12,4,28,24,12,0,390,2013
Week 11,3,12,8,44,179,45,12,14,50,14,2,32,37,9,0,461,2013
Week 12,0,13,10,50,226,56,8,8,48,7,2,32,21,14,0,495,2013
Week 13,4,16,16,34,192,33,9,10,57,6,6,26,20,11,0,440,2013
Week 14,5,13,11,46,177,51,11,4,50,11,1,33,19,10,0,442,2013
Week 15,2,15,10,30,176,27,9,11,32,10,4,27,25,14,0,392,2013
Week 16,1,16,9,45,189,34,13,5,36,7,5,34,19,9,0,422,2013
Week 17,2,16,10,39,191,62,19,8,85,2,5,28,26,7,0,500,2013
Week 18,1,12,6,24,179,57,19,5,100,11,5,17,18,9,0,463,2013
Week 19,4,14,11,28,178,50,16,7,83,5,7,15,24,9,0,451,2013
Week 20,1,17,10,33,210,58,12,8,87,10,11,17,16,13,0,503,2013
Week 21,4,17,12,31,208,67,11,11,77,7,17,26,13,5,2,508,2013
Week 22,9,17,10,19,296,48,19,3,90,8,3,14,20,7,1,564,2013
Week 23,13,10,13,18,260,22,10,9,92,11,9,21,14,7,0,509,2013
Week 24,15,15,13,25,265,31,12,10,116,14,7,17,24,11,0,575,2013
Week 25,5,31,18,41,293,44,15,11,116,11,9,25,29,10,0,658,2013
Week 26,13,28,14,36,308,66,14,21,123,10,10,36,20,15,1,715,2013
Week 27,14,19,12,34,293,41,16,15,114,8,7,21,23,8,0,625,2013
Week 28,3,20,22,23,334,35,13,6,109,14,4,28,21,11,0,643,2013
Week 29,7,18,26,29,293,27,15,19,112,13,4,34,20,11,1,629,2013
Week 30,6,22,17,32,322,27,10,17,103,16,11,32,15,15,0,645,2013
Week 31,4,20,19,26,308,64,16,14,98,15,10,31,15,13,2,655,2013
Week 32,0,17,7,19,297,49,6,9,71,9,9,17,10,11,0,531,2013
Week 33,2,16,18,25,365,55,25,18,87,10,22,19,22,6,0,690,2013
Week 34,3,22,25,29,447,34,10,33,111,12,28,36,22,11,1,824,2013
Week 35,2,14,21,48,436,45,12,39,119,16,22,28,12,10,0,824,2013
Week 36,5,11,28,33,391,38,11,39,92,20,16,29,16,11,1,741,2013
Week 37,8,11,38,53,424,31,23,59,89,29,16,35,15,12,0,843,2013
Week 38,5,13,24,28,542,52,18,61,89,16,30,36,18,14,0,946,2013
Week 39,1,10,18,46,691,60,42,65,103,13,21,43,17,19,0,1149,2013
Week 40,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2013
Week 41,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2013
Week 42,6,15,26,51,870,60,25,92,147,16,24,38,17,21,0,1408,2013
Week 43,5,14,26,64,1142,60,28,71,167,21,12,33,18,18,1,1680,2013
Week 44,1,16,45,81,991,63,32,65,152,24,15,29,18,15,0,1547,2013
Week 45,6,17,29,70,872,97,38,55,155,17,17,15,21,7,0,1416,2013
Week 46,5,17,53,56,1012,88,38,51,153,27,24,31,21,15,1,1592,2013
Week 47,3,11,44,93,979,77,73,75,157,20,22,26,32,14,0,1626,2013
Week 48,4,13,35,113,984,62,74,75,158,26,19,31,26,13,0,1633,2013
Week 49,7,21,27,108,1072,62,40,53,159,23,24,26,29,23,3,1677,2013
Week 50,1,18,36,108,929,77,85,62,109,17,22,25,17,18,0,1524,2013
Week 51,3,15,33,152,1306,87,67,75,149,25,21,20,27,24,0,2004,2013
Week 52,4,20,41,129,1408,94,125,44,149,19,21,27,19,20,0,2120,2013
Week 1,1,9,57,32,640,75,31,36,60,8,32,6,23,29,0,1039,2014
Week 2,6,25,41,249,903,244,100,67,169,14,33,34,31,30,0,1946,2014
Week 3,9,27,53,145,1070,262,112,105,188,20,22,84,24,35,0,2156,2014
Week 4,8,17,57,138,1201,188,145,77,174,40,31,97,15,38,3,2229,2014
Week 5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2014
Week 6,6,17,37,130,1317,217,122,72,109,16,10,100,27,17,0,2197,2014
Week 7,5,21,54,146,1296,178,122,82,129,40,21,120,30,21,0,2265,2014
Week 8,2,15,28,167,1429,166,208,89,121,36,16,125,34,32,0,2468,2014
Week 9,2,15,32,147,1159,171,114,64,104,22,14,151,33,22,2,2052,2014
Week 10,1,6,45,115,876,166,43,48,113,26,9,144,17,21,0,1630,2014
Week 11,3,7,37,142,1102,163,73,49,97,29,11,141,23,25,0,1902,2014
Week 12,4,9,35,113,1029,111,37,39,86,21,11,135,14,22,0,1666,2014
Week 13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2014
Week 14,na,4,na,16,na,na,12,na,na,3,na,6,na,11,na,52,2014
Week 15,1,8,20,70,881,67,23,24,67,16,9,97,14,11,5,1313,2014
Week 16,0,15,21,80,762,88,44,23,68,17,9,91,14,20,0,1252,2014
Week 17,1,15,17,63,577,80,18,18,37,22,4,85,18,18,1,974,2014
Week 18,3,18,25,62,636,92,51,25,74,19,9,63,34,22,0,1133,2014
Week 19,2,19,21,67,728,106,61,23,59,18,10,82,34,26,0,1256,2014
Week 20,3,28,18,67,731,133,50,33,69,23,12,71,24,17,0,1279,2014
Week 21,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2014
Week 22,4,41,43,77,1156,125,66,23,75,20,18,61,26,20,0,1755,2014
Week 23,3,29,30,82,967,141,93,39,63,24,10,59,28,18,0,1586,2014
Week 24,6,33,28,68,1099,147,107,42,88,18,16,88,36,21,0,1797,2014
Week 25,9,60,43,112,1038,179,132,49,110,31,19,167,41,31,0,2021,2014
Week 26,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2014
Week 27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2014
Week 28,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2014
Week 29,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2014
Week 30,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2014
Week 31,9,6,27,69,740,91,81,34,109,15,23,569,37,224,0,2034,2014
Week 32,5,23,67,109,1042,141,75,56,121,46,60,1160,49,26,0,2980,2014
Week 33,5,14,53,94,978,132,45,55,157,58,65,1334,53,27,0,3070,2014
Week 34,8,17,62,78,832,107,48,52,144,44,64,1286,39,31,0,2812,2014
Week 35,4,21,61,84,840,111,21,61,139,53,57,971,31,18,0,2472,2014
Week 36,4,14,42,73,756,84,46,43,123,40,60,839,39,30,0,2193,2014
Week 37,8,8,68,104,768,113,49,59,135,64,86,720,48,36,0,2266,2014
Week 38,9,15,47,79,642,77,35,55,120,65,44,490,41,13,0,1732,2014
Week 39,3,13,82,105,1052,124,42,73,123,77,65,405,90,27,0,2281,2014
Week 40,3,18,60,133,991,107,41,50,133,65,70,323,112,34,0,2140,2014
Week 41,7,26,76,105,846,110,36,42,160,70,62,173,76,33,0,1822,2014
Week 42,7,19,87,116,1103,127,41,67,162,72,73,183,72,31,0,2160,2014
Week 43,9,10,87,115,1008,144,37,59,123,40,61,130,87,34,0,1944,2014
Week 44,7,25,84,111,1130,111,48,58,183,60,51,93,90,32,0,2083,2014
Week 45,10,13,105,130,1120,109,31,75,144,55,53,88,75,33,0,2041,2014
Week 46,11,28,102,237,1137,102,26,69,155,77,47,100,80,25,0,2196,2014
Week 47,10,17,121,245,1281,136,90,62,128,65,35,88,95,27,0,2400,2014
Week 48,13,13,109,382,1154,103,69,37,129,49,41,78,76,38,0,2291,2014
Week 49,15,9,129,290,1299,145,48,36,144,76,37,82,89,36,0,2435,2014
Week 50,16,16,155,290,1333,132,69,56,122,83,47,75,99,40,0,2533,2014
Week 51,10,28,179,448,1545,140,38,45,173,107,43,56,95,42,0,2949,2014
Week 52,4,19,142,495,1366,128,84,55,128,79,31,41,96,33,0,2701,2014
